version,sha256,path,os_name,os_arch
3.0.3,a3fa3039083b8108cb4026e6205311d27a4de9140a59a96a767c74396cf0e6cd,rubies/3.0.3/ubuntu-22-04-x86_64-a3fa3039083b8108cb4026e6205311d27a4de9140a59a96a767c74396cf0e6cd.tar,ubuntu 22.04,x86_64
3.0.3,00287fabc4b1b60514b6c639cad85338b91df29013475bb299d49474a7d10afe,rubies/3.0.3/ubuntu-24-04-x86_64-00287fabc4b1b60514b6c639cad85338b91df29013475bb299d49474a7d10afe.tar,ubuntu 24.04,x86_64
3.0.4,1914ebbc4ee7e872bc702e3f3308af7844a186dd564d740b039d4804c0dfd846,rubies/3.0.4/ubuntu-22-04-x86_64-1914ebbc4ee7e872bc702e3f3308af7844a186dd564d740b039d4804c0dfd846.tar,ubuntu 22.04,x86_64
3.0.4,e6d33e2dd78f25ae18688bc8fa25c02f41de837f576421288888837c1a0a7f8b,rubies/3.0.4/ubuntu-24-04-x86_64-e6d33e2dd78f25ae18688bc8fa25c02f41de837f576421288888837c1a0a7f8b.tar,ubuntu 24.04,x86_64
3.0.5,1feb50a9eac41a226b121bb212f5456ca429367b6c48a3dcb5b9721f9528fc71,rubies/3.0.5/ubuntu-22-04-x86_64-1feb50a9eac41a226b121bb212f5456ca429367b6c48a3dcb5b9721f9528fc71.tar,ubuntu 22.04,x86_64
3.0.5,370545e0d90f6f7cb02f0dc02f42cb65a86e9952132db6937baf6ad304d7d440,rubies/3.0.5/ubuntu-24-04-x86_64-370545e0d90f6f7cb02f0dc02f42cb65a86e9952132db6937baf6ad304d7d440.tar,ubuntu 24.04,x86_64
3.0.6,3013a0333da6d0d963a3245bb3d126230aeabf413f06fc5da2b988315fe68b95,rubies/3.0.6/ubuntu-22-04-x86_64-3013a0333da6d0d963a3245bb3d126230aeabf413f06fc5da2b988315fe68b95.tar,ubuntu 22.04,x86_64
3.0.6,b7400114c937e331830b6fad26b12d841d7670bba5c82c89cd927222fe562003,rubies/3.0.6/ubuntu-24-04-x86_64-b7400114c937e331830b6fad26b12d841d7670bba5c82c89cd927222fe562003.tar,ubuntu 24.04,x86_64
3.0.7,020004ed0ee1788a5923f149acf0e1b31f1745406293ebcf221cb17da5542faf,rubies/3.0.7/ubuntu-22-04-x86_64-020004ed0ee1788a5923f149acf0e1b31f1745406293ebcf221cb17da5542faf.tar,ubuntu 22.04,x86_64
3.0.7,dc282000d91883df4f175418ba11d90e84fc8998d17d4236acb7a5de013eb0ce,rubies/3.0.7/ubuntu-24-04-x86_64-dc282000d91883df4f175418ba11d90e84fc8998d17d4236acb7a5de013eb0ce.tar,ubuntu 24.04,x86_64
3.1.0,004a42579784a2f84582f190f1d76ff59986e25336954b7363e529a23ad54509,rubies/3.1.0/ubuntu-22-04-x86_64-004a42579784a2f84582f190f1d76ff59986e25336954b7363e529a23ad54509.tar,ubuntu 22.04,x86_64
3.1.0,ecbc6c3eb1d75dbcafaa36fd32a792a37f2d78874b456d6b0b3d27fefa212dc4,rubies/3.1.0/ubuntu-24-04-x86_64-ecbc6c3eb1d75dbcafaa36fd32a792a37f2d78874b456d6b0b3d27fefa212dc4.tar,ubuntu 24.04,x86_64
3.1.1,a41e37d3598d7de2e71d5edeb5c95f1cfaf6f511621b40775b8e7723add9422c,rubies/3.1.1/ubuntu-22-04-x86_64-a41e37d3598d7de2e71d5edeb5c95f1cfaf6f511621b40775b8e7723add9422c.tar,ubuntu 22.04,x86_64
3.1.1,0e4569afcf0642be626fb3a580213e9ead6733c2635ce35c5876dfcf875cbafe,rubies/3.1.1/ubuntu-24-04-x86_64-0e4569afcf0642be626fb3a580213e9ead6733c2635ce35c5876dfcf875cbafe.tar,ubuntu 24.04,x86_64
3.1.2,44dbc1f29fc1164024f857dc2774e4540b390cfb2b474e67e657e21ec908c169,rubies/3.1.2/ubuntu-22-04-x86_64-44dbc1f29fc1164024f857dc2774e4540b390cfb2b474e67e657e21ec908c169.tar,ubuntu 22.04,x86_64
3.1.2,645dda8d1018b0b5efe3660b4515561203ad43bf6e7492aec525e61fdb9acc5e,rubies/3.1.2/ubuntu-24-04-x86_64-645dda8d1018b0b5efe3660b4515561203ad43bf6e7492aec525e61fdb9acc5e.tar,ubuntu 24.04,x86_64
3.1.3,ba557d609f5ceda8b32636a26df8d58d03b6ebb1e25c66b22913111b170d3606,rubies/3.1.3/ubuntu-22-04-x86_64-ba557d609f5ceda8b32636a26df8d58d03b6ebb1e25c66b22913111b170d3606.tar,ubuntu 22.04,x86_64
3.1.3,9b1d3abe373bdaabf09ec17a31b1a88af108bb77ffc282b7a44ea591b85fd20f,rubies/3.1.3/ubuntu-24-04-x86_64-9b1d3abe373bdaabf09ec17a31b1a88af108bb77ffc282b7a44ea591b85fd20f.tar,ubuntu 24.04,x86_64
3.1.4,2b366603a56965e1cfaf48b89cfbc68961684b4934528faf6eec90c3314d10ad,rubies/3.1.4/ubuntu-22-04-x86_64-2b366603a56965e1cfaf48b89cfbc68961684b4934528faf6eec90c3314d10ad.tar,ubuntu 22.04,x86_64
3.1.4,0dfe516585a5b465b50490d10d0c2c6ac1f3ee23ac9b2ffb72ea3343da2a736b,rubies/3.1.4/ubuntu-24-04-x86_64-0dfe516585a5b465b50490d10d0c2c6ac1f3ee23ac9b2ffb72ea3343da2a736b.tar,ubuntu 24.04,x86_64
3.1.5,7183343f2ece6805343ec5014d3d2c8f50122b4327623a27db4929fea1814c97,rubies/3.1.5/ubuntu-22-04-x86_64-7183343f2ece6805343ec5014d3d2c8f50122b4327623a27db4929fea1814c97.tar,ubuntu 22.04,x86_64
3.1.5,5ac1ef9dc15103b4168ca528722010078fc427d19fdeb9f134551c0a7a69e0dc,rubies/3.1.5/ubuntu-24-04-x86_64-5ac1ef9dc15103b4168ca528722010078fc427d19fdeb9f134551c0a7a69e0dc.tar,ubuntu 24.04,x86_64
3.1.6,c9dab7ab57e66a1465b013324113af985bbc42183368f4509e984bec7f2cdb96,rubies/3.1.6/ubuntu-22-04-x86_64-c9dab7ab57e66a1465b013324113af985bbc42183368f4509e984bec7f2cdb96.tar,ubuntu 22.04,x86_64
3.1.6,e45e55f1d7b343ea668fb75146e1340c5c361eb1d7bae46225e6a43ea5b5a885,rubies/3.1.6/ubuntu-24-04-x86_64-e45e55f1d7b343ea668fb75146e1340c5c361eb1d7bae46225e6a43ea5b5a885.tar,ubuntu 24.04,x86_64
3.1.7,8a0ce075366411137d43d96c37ae989a802ab4938cae4a76139f234be53640d1,rubies/3.1.7/ubuntu-22-04-x86_64-8a0ce075366411137d43d96c37ae989a802ab4938cae4a76139f234be53640d1.tar,ubuntu 22.04,x86_64
3.1.7,c94698152b29dd25094da61ceeb0071a328991ab6cfad5b6fcabff2b11b1835c,rubies/3.1.7/ubuntu-24-04-x86_64-c94698152b29dd25094da61ceeb0071a328991ab6cfad5b6fcabff2b11b1835c.tar,ubuntu 24.04,x86_64
3.2.0,f9cd5983e94608d870d85ca4b60c6c2240b589a59a0f0276a669752de0bd0bab,rubies/3.2.0/ubuntu-22-04-x86_64-f9cd5983e94608d870d85ca4b60c6c2240b589a59a0f0276a669752de0bd0bab.tar,ubuntu 22.04,x86_64
3.2.0,308b80f2ade40318315febc67430ac32e99f62a27657ed50efd86d1012a9e40a,rubies/3.2.0/ubuntu-24-04-x86_64-308b80f2ade40318315febc67430ac32e99f62a27657ed50efd86d1012a9e40a.tar,ubuntu 24.04,x86_64
3.2.1,603b492318bb9e4ca544ebcb3d3cfca0fb38ede20207f6d096554d5a59f50f13,rubies/3.2.1/ubuntu-22-04-x86_64-603b492318bb9e4ca544ebcb3d3cfca0fb38ede20207f6d096554d5a59f50f13.tar,ubuntu 22.04,x86_64
3.2.1,86de65256fa517dcf20331aad39fc8a2be9f8b2c871d78167005443215ba3652,rubies/3.2.1/ubuntu-24-04-x86_64-86de65256fa517dcf20331aad39fc8a2be9f8b2c871d78167005443215ba3652.tar,ubuntu 24.04,x86_64
3.2.2,a96ee76f7e255ff6f5024c03e381da7b55aa1f080bf0004ad078a5fc87ded6e0,rubies/3.2.2/ubuntu-22-04-x86_64-a96ee76f7e255ff6f5024c03e381da7b55aa1f080bf0004ad078a5fc87ded6e0.tar,ubuntu 22.04,x86_64
3.2.2,ca64830b13daa462873930c7f11debe1ff7d09b334e4a7edb7c1cff0e9a3fc14,rubies/3.2.2/ubuntu-24-04-x86_64-ca64830b13daa462873930c7f11debe1ff7d09b334e4a7edb7c1cff0e9a3fc14.tar,ubuntu 24.04,x86_64
3.2.3,f1f56cf229030d587e287f7742af534715328f1d9c304bbf0815d1811d187dff,rubies/3.2.3/ubuntu-22-04-x86_64-f1f56cf229030d587e287f7742af534715328f1d9c304bbf0815d1811d187dff.tar,ubuntu 22.04,x86_64
3.2.3,ac1d7a63ae2b9096d0794ecd3220b1130de00d33c230fa279b883795df35c500,rubies/3.2.3/ubuntu-24-04-x86_64-ac1d7a63ae2b9096d0794ecd3220b1130de00d33c230fa279b883795df35c500.tar,ubuntu 24.04,x86_64
3.2.4,e5e9aa6c35cd88077de004baf7b089159f520133943665f08fd6a6b20c3ea3bf,rubies/3.2.4/ubuntu-22-04-x86_64-e5e9aa6c35cd88077de004baf7b089159f520133943665f08fd6a6b20c3ea3bf.tar,ubuntu 22.04,x86_64
3.2.4,71647a5b3387f26605bb347a10e3d8bb96b0b584c5f32e6f4d4e421d0214a187,rubies/3.2.4/ubuntu-24-04-x86_64-71647a5b3387f26605bb347a10e3d8bb96b0b584c5f32e6f4d4e421d0214a187.tar,ubuntu 24.04,x86_64
3.2.5,39d6f61515011c27ec7bcb5b786bf51f5aa3c931f33749ddd29d8d7d63c0fdde,rubies/3.2.5/ubuntu-22-04-x86_64-39d6f61515011c27ec7bcb5b786bf51f5aa3c931f33749ddd29d8d7d63c0fdde.tar,ubuntu 22.04,x86_64
3.2.5,9cb14ba0b93972894c1b75727a92e30e8c7fce261777249e7fc0ccc82aa57eeb,rubies/3.2.5/ubuntu-24-04-x86_64-9cb14ba0b93972894c1b75727a92e30e8c7fce261777249e7fc0ccc82aa57eeb.tar,ubuntu 24.04,x86_64
3.2.6,4b598d64f62ebe6b76cbfcf0232eaf6adf05296f12ab3c3ff9739be6266478e1,rubies/3.2.6/ubuntu-22-04-x86_64-4b598d64f62ebe6b76cbfcf0232eaf6adf05296f12ab3c3ff9739be6266478e1.tar,ubuntu 22.04,x86_64
3.2.6,abc4a0aa358cc052602d88b992d7a72c9c4bf8fb82a9828a081939f7af2d9cc7,rubies/3.2.6/ubuntu-24-04-x86_64-abc4a0aa358cc052602d88b992d7a72c9c4bf8fb82a9828a081939f7af2d9cc7.tar,ubuntu 24.04,x86_64
3.2.7,f738cf56bc2963590eb1e1742a2ce086a2eec8202d9fee5d587461b3ed8f0493,rubies/3.2.7/ubuntu-22-04-x86_64-f738cf56bc2963590eb1e1742a2ce086a2eec8202d9fee5d587461b3ed8f0493.tar,ubuntu 22.04,x86_64
