version,sha256,path,os_name,os_arch
3.8.12,d534c098d773f5d558a4935fb82f83c831adafc7f59227eae0cf293148f5c261,pythons/3.8.12/ubuntu-24-04-x86_64-d534c098d773f5d558a4935fb82f83c831adafc7f59227eae0cf293148f5c261.tar,ubuntu 24.04,x86_64
3.8.13,0f5b9833d6b9c9c58fd84cf7c0f817b9dbd62d3de3f369bcd89a5c943b7a6313,pythons/3.8.13/ubuntu-22-04-x86_64-0f5b9833d6b9c9c58fd84cf7c0f817b9dbd62d3de3f369bcd89a5c943b7a6313.tar,ubuntu 22.04,x86_64
3.8.13,06055acb0691f631e147fa0fb8e848f141d3a20184b250be410b6d2f2ab08262,pythons/3.8.13/ubuntu-24-04-x86_64-06055acb0691f631e147fa0fb8e848f141d3a20184b250be410b6d2f2ab08262.tar,ubuntu 24.04,x86_64
3.8.14,6f1b0346e404543256d11c9f097eebd8df9141281a9e718d193d63fdf44c9f25,pythons/3.8.14/ubuntu-22-04-x86_64-6f1b0346e404543256d11c9f097eebd8df9141281a9e718d193d63fdf44c9f25.tar,ubuntu 22.04,x86_64
3.8.14,407a339495296494d6ebc1b1e1b0aa43495f070e3c57f4a3071a86beac1e40e2,pythons/3.8.14/ubuntu-24-04-x86_64-407a339495296494d6ebc1b1e1b0aa43495f070e3c57f4a3071a86beac1e40e2.tar,ubuntu 24.04,x86_64
3.8.15,a36b62fe047484f2b52d1ea18d0b6ace01541d089ee6e060439d950187ec06d1,pythons/3.8.15/ubuntu-22-04-x86_64-a36b62fe047484f2b52d1ea18d0b6ace01541d089ee6e060439d950187ec06d1.tar,ubuntu 22.04,x86_64
3.8.15,641b45507dcaba87e50f502128b03c95b0c826dcb2f7aaa925cdbd54eb1e4605,pythons/3.8.15/ubuntu-24-04-x86_64-641b45507dcaba87e50f502128b03c95b0c826dcb2f7aaa925cdbd54eb1e4605.tar,ubuntu 24.04,x86_64
3.8.16,1ac69a2dce048c886cd10968423e0d6d29011cedab472f5292e4953625c1b49d,pythons/3.8.16/ubuntu-22-04-x86_64-1ac69a2dce048c886cd10968423e0d6d29011cedab472f5292e4953625c1b49d.tar,ubuntu 22.04,x86_64
3.8.16,e9d7426d6591637a19a843fd7ce0b0eeccbf0064823e1f5c9f4b9d63da71a4d4,pythons/3.8.16/ubuntu-24-04-x86_64-e9d7426d6591637a19a843fd7ce0b0eeccbf0064823e1f5c9f4b9d63da71a4d4.tar,ubuntu 24.04,x86_64
3.8.17,18a86c4e859ae67152c405cb5528ee800d47c50cf88aa85b53196d1db552bc43,pythons/3.8.17/ubuntu-22-04-x86_64-18a86c4e859ae67152c405cb5528ee800d47c50cf88aa85b53196d1db552bc43.tar,ubuntu 22.04,x86_64
3.8.17,d23a320d0952a82d8c179f07c7132d1cf1a3228d6e92467d54c6479fe71e905f,pythons/3.8.17/ubuntu-24-04-x86_64-d23a320d0952a82d8c179f07c7132d1cf1a3228d6e92467d54c6479fe71e905f.tar,ubuntu 24.04,x86_64
3.8.18,36d264413122f6c4ec26233118c6bb7c6373b9f8ab4399699ec33a623bdff7c0,pythons/3.8.18/ubuntu-22-04-x86_64-36d264413122f6c4ec26233118c6bb7c6373b9f8ab4399699ec33a623bdff7c0.tar,ubuntu 22.04,x86_64
3.8.18,5fd995072f00aefc9a11039077b4714ae974bb84d6adf0a46545c267172ab888,pythons/3.8.18/ubuntu-24-04-x86_64-5fd995072f00aefc9a11039077b4714ae974bb84d6adf0a46545c267172ab888.tar,ubuntu 24.04,x86_64
3.8.19,0e6df4347e9c2eb2fbf518c02422aad66a39fed4bfc6dc9c1a457a4bdd9858a1,pythons/3.8.19/ubuntu-22-04-x86_64-0e6df4347e9c2eb2fbf518c02422aad66a39fed4bfc6dc9c1a457a4bdd9858a1.tar,ubuntu 22.04,x86_64
3.8.19,2af9ca7a61e1630bd813f9f1574097af17ac377f20322f409411a095647cc1e0,pythons/3.8.19/ubuntu-24-04-x86_64-2af9ca7a61e1630bd813f9f1574097af17ac377f20322f409411a095647cc1e0.tar,ubuntu 24.04,x86_64
3.8.20,1d1b45807defb006146b4611736ca204b832c5b02fb05a9958ea3046f3d428c1,pythons/3.8.20/ubuntu-22-04-x86_64-1d1b45807defb006146b4611736ca204b832c5b02fb05a9958ea3046f3d428c1.tar,ubuntu 22.04,x86_64
3.8.20,67b28912a18ef0defb80d3baafe3824ff009f00c3c82b5f10cd4f568cda528e1,pythons/3.8.20/ubuntu-24-04-x86_64-67b28912a18ef0defb80d3baafe3824ff009f00c3c82b5f10cd4f568cda528e1.tar,ubuntu 24.04,x86_64
