python-version,os,tag,arch
3.10.4,ubuntu 24.04,1.0,x86_64
3.10.5,ubuntu 22.04,1.0,x86_64
3.10.5,ubuntu 24.04,1.0,x86_64
3.10.6,ubuntu 22.04,1.0,x86_64
3.10.6,ubuntu 24.04,1.0,x86_64
3.10.7,ubuntu 22.04,1.0,x86_64
3.10.7,ubuntu 24.04,1.0,x86_64
3.10.8,ubuntu 22.04,1.0,x86_64
3.10.8,ubuntu 24.04,1.0,x86_64
3.10.9,ubuntu 22.04,1.0,x86_64
3.10.9,ubuntu 24.04,1.0,x86_64
3.10.10,ubuntu 22.04,1.0,x86_64
3.10.10,ubuntu 24.04,1.0,x86_64
3.10.11,ubuntu 22.04,1.0,x86_64
3.10.11,ubuntu 24.04,1.0,x86_64
3.10.12,ubuntu 22.04,1.0,x86_64
3.10.12,ubuntu 24.04,1.0,x86_64
3.10.13,ubuntu 22.04,1.0,x86_64
3.10.13,ubuntu 24.04,1.0,x86_64
3.10.14,ubuntu 22.04,1.0,x86_64
3.10.14,ubuntu 24.04,1.0,x86_64
3.10.15,ubuntu 22.04,1.0,x86_64
3.10.15,ubuntu 24.04,1.0,x86_64
3.10.16,ubuntu 22.04,1.0,x86_64
3.10.16,ubuntu 24.04,1.0,x86_64
3.11.0,ubuntu 22.04,1.0,x86_64
3.11.0,ubuntu 24.04,1.0,x86_64
3.11.1,ubuntu 22.04,1.0,x86_64
3.11.1,ubuntu 24.04,1.0,x86_64
3.11.2,ubuntu 22.04,1.0,x86_64
3.11.2,ubuntu 24.04,1.0,x86_64
3.11.3,ubuntu 22.04,1.0,x86_64
3.11.3,ubuntu 24.04,1.0,x86_64
3.11.4,ubuntu 22.04,1.0,x86_64
3.11.4,ubuntu 24.04,1.0,x86_64
3.11.5,ubuntu 22.04,1.0,x86_64
3.11.5,ubuntu 24.04,1.0,x86_64
3.11.6,ubuntu 22.04,1.0,x86_64
3.11.6,ubuntu 24.04,1.0,x86_64
3.11.7,ubuntu 22.04,1.0,x86_64
3.11.7,ubuntu 24.04,1.0,x86_64
3.11.8,ubuntu 22.04,1.0,x86_64
3.11.8,ubuntu 24.04,1.0,x86_64
3.11.9,ubuntu 22.04,1.0,x86_64
3.11.9,ubuntu 24.04,1.0,x86_64
3.11.10,ubuntu 22.04,1.0,x86_64
3.11.10,ubuntu 24.04,1.0,x86_64
3.11.11,ubuntu 22.04,1.0,x86_64
3.11.11,ubuntu 24.04,1.0,x86_64
3.12.0,ubuntu 22.04,1.0,x86_64
3.12.0,ubuntu 24.04,1.0,x86_64
3.12.1,ubuntu 22.04,1.0,x86_64
3.12.1,ubuntu 24.04,1.0,x86_64
3.12.2,ubuntu 22.04,1.0,x86_64
3.12.2,ubuntu 24.04,1.0,x86_64
3.12.3,ubuntu 22.04,1.0,x86_64
3.12.3,ubuntu 24.04,1.0,x86_64
3.12.4,ubuntu 22.04,1.0,x86_64
3.12.4,ubuntu 24.04,1.0,x86_64
3.12.5,ubuntu 22.04,1.0,x86_64
3.12.5,ubuntu 24.04,1.0,x86_64
3.12.6,ubuntu 22.04,1.0,x86_64
3.12.6,ubuntu 24.04,1.0,x86_64
3.12.7,ubuntu 22.04,1.0,x86_64
3.12.7,ubuntu 24.04,1.0,x86_64
3.12.8,ubuntu 22.04,1.0,x86_64
3.12.8,ubuntu 24.04,1.0,x86_64
3.12.9,ubuntu 22.04,1.0,x86_64
3.12.9,ubuntu 24.04,1.0,x86_64
3.13.0,ubuntu 22.04,1.0,x86_64
3.13.0,ubuntu 24.04,1.0,x86_64
3.13.1,ubuntu 22.04,1.0,x86_64
3.13.1,ubuntu 24.04,1.0,x86_64
3.13.2,ubuntu 22.04,1.0,x86_64
3.13.2,ubuntu 24.04,1.0,x86_64
3.13.3,ubuntu 22.04,1.0,x86_64
3.13.3,ubuntu 24.04,1.0,x86_64
